"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pavisam","..mežaudzes","Madonas novads (no 01.07.2025.)",0
"Pavisam","..mežaudzes","Madonas novads",149530
"Pavisam","..mežaudzes","Mārupes novads",11784
"Pavisam","..mežaudzes","Ogres novads",91670
"Pavisam","..mežaudzes","Olaines novads",17706
"Pavisam","..mežaudzes","Preiļu novads",41771
"Pavisam","..mežaudzes","Rēzeknes novads",93607
"Pavisam","..mežaudzes","Ropažu novads",34435
"Pavisam","..mežaudzes","Salaspils novads",3426
"Pavisam","..mežaudzes","Saldus novads",95864
"Pavisam","..mežaudzes","Saulkrastu novads",15994
"Pavisam","..mežaudzes","Siguldas novads",50556
"Pavisam","..mežaudzes","Smiltenes novads",94981
"Pavisam","..mežaudzes","Talsu novads",156667
"Pavisam","..mežaudzes","Tukuma novads",103682
"Pavisam","..mežaudzes","Valkas novads",55144
"Pavisam","..mežaudzes","Valmieras novads",140581
"Pavisam","..mežaudzes","Varakļānu novads",6069
"Pavisam","..mežaudzes","Ventspils novads",159768
"Pavisam","Purvi","Latvija",164469
"Pavisam","Purvi","Rīga",31
"Pavisam","Purvi","Daugavpils",10
"Pavisam","Purvi","Jelgava",0
"Pavisam","Purvi","Jēkabpils",0
"Pavisam","Purvi","Jūrmala",306
"Pavisam","Purvi","Liepāja",49
"Pavisam","Purvi","Ogre",0
"Pavisam","Purvi","Rēzekne",0
"Pavisam","Purvi","Valmiera",1
"Pavisam","Purvi","Ventspils",141
"Pavisam","Purvi","Aizkraukles novads",3111
"Pavisam","Purvi","Alūksnes novads",1888
"Pavisam","Purvi","Augšdaugavas novads",2720
"Pavisam","Purvi","Ādažu novads",198
"Pavisam","Purvi","Balvu novads",14820
"Pavisam","Purvi","Bauskas novads",920
"Pavisam","Purvi","Cēsu novads",5613
"Pavisam","Purvi","Dienvidkurzemes novads",5199
"Pavisam","Purvi","Dobeles novads",788
"Pavisam","Purvi","Gulbenes novads",1590
"Pavisam","Purvi","Jelgavas novads",2071
"Pavisam","Purvi","Jēkabpils novads",18396
"Pavisam","Purvi","Krāslavas novads",2197
"Pavisam","Purvi","Kuldīgas novads",2462
"Pavisam","Purvi","Ķekavas novads",226
"Pavisam","Purvi","Limbažu novads",10631
"Pavisam","Purvi","Līvānu novads",7634
"Pavisam","Purvi","Ludzas novads",8527
"Pavisam","Purvi","Madonas novads (no 01.07.2025.)",0
"Pavisam","Purvi","Madonas novads",8406
"Pavisam","Purvi","Mārupes novads",2437
"Pavisam","Purvi","Ogres novads",1456
"Pavisam","Purvi","Olaines novads",662
"Pavisam","Purvi","Preiļu novads",5332
"Pavisam","Purvi","Rēzeknes novads",8390
"Pavisam","Purvi","Ropažu novads",984
"Pavisam","Purvi","Salaspils novads",87
"Pavisam","Purvi","Saldus novads",1997
"Pavisam","Purvi","Saulkrastu novads",1581
"Pavisam","Purvi","Siguldas novads",4143
"Pavisam","Purvi","Smiltenes novads",3356
"Pavisam","Purvi","Talsu novads",5657
"Pavisam","Purvi","Tukuma novads",7561
"Pavisam","Purvi","Valkas novads",1916
"Pavisam","Purvi","Valmieras novads",8107
"Pavisam","Purvi","Varakļānu novads",5579
"Pavisam","Purvi","Ventspils novads",7289
"Pavisam","Lauces","Latvija",24089
"Pavisam","Lauces","Rīga",13
"Pavisam","Lauces","Daugavpils",12
"Pavisam","Lauces","Jelgava",3
"Pavisam","Lauces","Jēkabpils",2
"Pavisam","Lauces","Jūrmala",4
"Pavisam","Lauces","Liepāja",96
"Pavisam","Lauces","Ogre",2
"Pavisam","Lauces","Rēzekne",0
"Pavisam","Lauces","Valmiera",4
"Pavisam","Lauces","Ventspils",21
"Pavisam","Lauces","Aizkraukles novads",935
"Pavisam","Lauces","Alūksnes novads",600
"Pavisam","Lauces","Augšdaugavas novads",704
"Pavisam","Lauces","Ādažu novads",15
"Pavisam","Lauces","Balvu novads",540
