"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Valsts meži","Meža zeme","Smiltenes novads",52627
"Valsts meži","Meža zeme","Talsu novads",116370
"Valsts meži","Meža zeme","Tukuma novads",74592
"Valsts meži","Meža zeme","Valkas novads",39897
"Valsts meži","Meža zeme","Valmieras novads",65528
"Valsts meži","Meža zeme","Varakļānu novads",9517
"Valsts meži","Meža zeme","Ventspils novads",133978
"Valsts meži","Mežs","Latvija",1496035
"Valsts meži","Mežs","Rīga",248
"Valsts meži","Mežs","Daugavpils",115
"Valsts meži","Mežs","Jelgava",388
"Valsts meži","Mežs","Jēkabpils",83
"Valsts meži","Mežs","Jūrmala",1976
"Valsts meži","Mežs","Liepāja",30
"Valsts meži","Mežs","Ogre",7
"Valsts meži","Mežs","Rēzekne",0
"Valsts meži","Mežs","Valmiera",68
"Valsts meži","Mežs","Ventspils",392
"Valsts meži","Mežs","Aizkraukles novads",74493
"Valsts meži","Mežs","Alūksnes novads",46660
"Valsts meži","Mežs","Augšdaugavas novads",47109
"Valsts meži","Mežs","Ādažu novads",7068
"Valsts meži","Mežs","Balvu novads",45737
"Valsts meži","Mežs","Bauskas novads",48188
"Valsts meži","Mežs","Cēsu novads",43912
"Valsts meži","Mežs","Dienvidkurzemes novads",94361
"Valsts meži","Mežs","Dobeles novads",31448
"Valsts meži","Mežs","Gulbenes novads",54158
"Valsts meži","Mežs","Jelgavas novads",38251
"Valsts meži","Mežs","Jēkabpils novads",72112
"Valsts meži","Mežs","Krāslavas novads",16852
"Valsts meži","Mežs","Kuldīgas novads",78526
"Valsts meži","Mežs","Ķekavas novads",14172
"Valsts meži","Mežs","Limbažu novads",54573
"Valsts meži","Mežs","Līvānu novads",9427
"Valsts meži","Mežs","Ludzas novads",34209
"Valsts meži","Mežs","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Mežs","Madonas novads",56514
"Valsts meži","Mežs","Mārupes novads",1457
"Valsts meži","Mežs","Ogres novads",42155
"Valsts meži","Mežs","Olaines novads",10978
"Valsts meži","Mežs","Preiļu novads",8069
"Valsts meži","Mežs","Rēzeknes novads",27735
"Valsts meži","Mežs","Ropažu novads",11873
"Valsts meži","Mežs","Salaspils novads",394
"Valsts meži","Mežs","Saldus novads",57286
"Valsts meži","Mežs","Saulkrastu novads",9508
"Valsts meži","Mežs","Siguldas novads",24441
"Valsts meži","Mežs","Smiltenes novads",46901
"Valsts meži","Mežs","Talsu novads",104395
"Valsts meži","Mežs","Tukuma novads",64146
"Valsts meži","Mežs","Valkas novads",36140
"Valsts meži","Mežs","Valmieras novads",55385
"Valsts meži","Mežs","Varakļānu novads",3828
"Valsts meži","Mežs","Ventspils novads",120424
"Valsts meži","..mežaudzes","Latvija",1440989
"Valsts meži","..mežaudzes","Rīga",244
"Valsts meži","..mežaudzes","Daugavpils",113
"Valsts meži","..mežaudzes","Jelgava",371
"Valsts meži","..mežaudzes","Jēkabpils",83
"Valsts meži","..mežaudzes","Jūrmala",1976
"Valsts meži","..mežaudzes","Liepāja",30
"Valsts meži","..mežaudzes","Ogre",7
"Valsts meži","..mežaudzes","Rēzekne",0
"Valsts meži","..mežaudzes","Valmiera",68
"Valsts meži","..mežaudzes","Ventspils",392
"Valsts meži","..mežaudzes","Aizkraukles novads",71258
"Valsts meži","..mežaudzes","Alūksnes novads",44892
"Valsts meži","..mežaudzes","Augšdaugavas novads",45374
"Valsts meži","..mežaudzes","Ādažu novads",6999
"Valsts meži","..mežaudzes","Balvu novads",44321
"Valsts meži","..mežaudzes","Bauskas novads",45917
"Valsts meži","..mežaudzes","Cēsu novads",42811
"Valsts meži","..mežaudzes","Dienvidkurzemes novads",90468
"Valsts meži","..mežaudzes","Dobeles novads",30181
"Valsts meži","..mežaudzes","Gulbenes novads",51538
"Valsts meži","..mežaudzes","Jelgavas novads",36109
"Valsts meži","..mežaudzes","Jēkabpils novads",68139
"Valsts meži","..mežaudzes","Krāslavas novads",16395
"Valsts meži","..mežaudzes","Kuldīgas novads",75972
"Valsts meži","..mežaudzes","Ķekavas novads",13233
"Valsts meži","..mežaudzes","Limbažu novads",51991
"Valsts meži","..mežaudzes","Līvānu novads",9207
"Valsts meži","..mežaudzes","Ludzas novads",33021
"Valsts meži","..mežaudzes","Madonas novads (no 01.07.2025.)",0
"Valsts meži","..mežaudzes","Madonas novads",54293
"Valsts meži","..mežaudzes","Mārupes novads",1437
"Valsts meži","..mežaudzes","Ogres novads",40551
"Valsts meži","..mežaudzes","Olaines novads",10420
"Valsts meži","..mežaudzes","Preiļu novads",7810
"Valsts meži","..mežaudzes","Rēzeknes novads",26999
"Valsts meži","..mežaudzes","Ropažu novads",11555
"Valsts meži","..mežaudzes","Salaspils novads",393
"Valsts meži","..mežaudzes","Saldus novads",54300
"Valsts meži","..mežaudzes","Saulkrastu novads",9389
"Valsts meži","..mežaudzes","Siguldas novads",23618
"Valsts meži","..mežaudzes","Smiltenes novads",45312
"Valsts meži","..mežaudzes","Talsu novads",101442
"Valsts meži","..mežaudzes","Tukuma novads",62684
"Valsts meži","..mežaudzes","Valkas novads",35061
"Valsts meži","..mežaudzes","Valmieras novads",53506
"Valsts meži","..mežaudzes","Varakļānu novads",3752
"Valsts meži","..mežaudzes","Ventspils novads",117515
"Valsts meži","Purvi","Latvija",135148
"Valsts meži","Purvi","Rīga",11
"Valsts meži","Purvi","Daugavpils",1
"Valsts meži","Purvi","Jelgava",0
"Valsts meži","Purvi","Jēkabpils",0
"Valsts meži","Purvi","Jūrmala",251
"Valsts meži","Purvi","Liepāja",0
"Valsts meži","Purvi","Ogre",0
"Valsts meži","Purvi","Rēzekne",0
"Valsts meži","Purvi","Valmiera",1
"Valsts meži","Purvi","Ventspils",34
"Valsts meži","Purvi","Aizkraukles novads",2757
"Valsts meži","Purvi","Alūksnes novads",622
"Valsts meži","Purvi","Augšdaugavas novads",1581
"Valsts meži","Purvi","Ādažu novads",169
"Valsts meži","Purvi","Balvu novads",13401
"Valsts meži","Purvi","Bauskas novads",684
"Valsts meži","Purvi","Cēsu novads",4109
"Valsts meži","Purvi","Dienvidkurzemes novads",4330
"Valsts meži","Purvi","Dobeles novads",659
"Valsts meži","Purvi","Gulbenes novads",1072
"Valsts meži","Purvi","Jelgavas novads",1960
"Valsts meži","Purvi","Jēkabpils novads",17790
"Valsts meži","Purvi","Krāslavas novads",315
"Valsts meži","Purvi","Kuldīgas novads",1729
"Valsts meži","Purvi","Ķekavas novads",82
"Valsts meži","Purvi","Limbažu novads",9351
"Valsts meži","Purvi","Līvānu novads",7562
"Valsts meži","Purvi","Ludzas novads",6350
"Valsts meži","Purvi","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Purvi","Madonas novads",6495
"Valsts meži","Purvi","Mārupes novads",529
"Valsts meži","Purvi","Ogres novads",1152
"Valsts meži","Purvi","Olaines novads",15
"Valsts meži","Purvi","Preiļu novads",4390
"Valsts meži","Purvi","Rēzeknes novads",5288
"Valsts meži","Purvi","Ropažu novads",734
"Valsts meži","Purvi","Salaspils novads",0
"Valsts meži","Purvi","Saldus novads",1690
"Valsts meži","Purvi","Saulkrastu novads",1432
"Valsts meži","Purvi","Siguldas novads",3574
"Valsts meži","Purvi","Smiltenes novads",2790
"Valsts meži","Purvi","Talsu novads",5431
"Valsts meži","Purvi","Tukuma novads",6805
"Valsts meži","Purvi","Valkas novads",1534
"Valsts meži","Purvi","Valmieras novads",6150
"Valsts meži","Purvi","Varakļānu novads",5497
"Valsts meži","Purvi","Ventspils novads",6819
"Valsts meži","Lauces","Latvija",7611
"Valsts meži","Lauces","Rīga",1
"Valsts meži","Lauces","Daugavpils",6
"Valsts meži","Lauces","Jelgava",2
"Valsts meži","Lauces","Jēkabpils",2
"Valsts meži","Lauces","Jūrmala",0
"Valsts meži","Lauces","Liepāja",1
"Valsts meži","Lauces","Ogre",0
"Valsts meži","Lauces","Rēzekne",0
"Valsts meži","Lauces","Valmiera",2
"Valsts meži","Lauces","Ventspils",8
"Valsts meži","Lauces","Aizkraukles novads",389
"Valsts meži","Lauces","Alūksnes novads",209
"Valsts meži","Lauces","Augšdaugavas novads",326
"Valsts meži","Lauces","Ādažu novads",4
"Valsts meži","Lauces","Balvu novads",187
"Valsts meži","Lauces","Bauskas novads",481
"Valsts meži","Lauces","Cēsu novads",368
"Valsts meži","Lauces","Dienvidkurzemes novads",631
"Valsts meži","Lauces","Dobeles novads",211
"Valsts meži","Lauces","Gulbenes novads",50
"Valsts meži","Lauces","Jelgavas novads",128
"Valsts meži","Lauces","Jēkabpils novads",717
"Valsts meži","Lauces","Krāslavas novads",68
"Valsts meži","Lauces","Kuldīgas novads",432
"Valsts meži","Lauces","Ķekavas novads",47
"Valsts meži","Lauces","Limbažu novads",49
"Valsts meži","Lauces","Līvānu novads",26
"Valsts meži","Lauces","Ludzas novads",186
"Valsts meži","Lauces","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Lauces","Madonas novads",563
"Valsts meži","Lauces","Mārupes novads",15
"Valsts meži","Lauces","Ogres novads",99
"Valsts meži","Lauces","Olaines novads",28
"Valsts meži","Lauces","Preiļu novads",47
"Valsts meži","Lauces","Rēzeknes novads",198
"Valsts meži","Lauces","Ropažu novads",20
"Valsts meži","Lauces","Salaspils novads",2
"Valsts meži","Lauces","Saldus novads",427
"Valsts meži","Lauces","Saulkrastu novads",22
"Valsts meži","Lauces","Siguldas novads",65
"Valsts meži","Lauces","Smiltenes novads",192
"Valsts meži","Lauces","Talsu novads",399
"Valsts meži","Lauces","Tukuma novads",280
"Valsts meži","Lauces","Valkas novads",55
"Valsts meži","Lauces","Valmieras novads",176
"Valsts meži","Lauces","Varakļānu novads",48
"Valsts meži","Lauces","Ventspils novads",446
"Valsts meži","Pārplūstošie klajumi","Latvija",9214
"Valsts meži","Pārplūstošie klajumi","Rīga",0
"Valsts meži","Pārplūstošie klajumi","Daugavpils",0
"Valsts meži","Pārplūstošie klajumi","Jelgava",0
"Valsts meži","Pārplūstošie klajumi","Jēkabpils",0
"Valsts meži","Pārplūstošie klajumi","Jūrmala",178
"Valsts meži","Pārplūstošie klajumi","Liepāja",0
"Valsts meži","Pārplūstošie klajumi","Ogre",0
"Valsts meži","Pārplūstošie klajumi","Rēzekne",0
"Valsts meži","Pārplūstošie klajumi","Valmiera",2
"Valsts meži","Pārplūstošie klajumi","Ventspils",2
"Valsts meži","Pārplūstošie klajumi","Aizkraukles novads",381
"Valsts meži","Pārplūstošie klajumi","Alūksnes novads",133
"Valsts meži","Pārplūstošie klajumi","Augšdaugavas novads",380
"Valsts meži","Pārplūstošie klajumi","Ādažu novads",9
"Valsts meži","Pārplūstošie klajumi","Balvu novads",110
"Valsts meži","Pārplūstošie klajumi","Bauskas novads",322
"Valsts meži","Pārplūstošie klajumi","Cēsu novads",490
"Valsts meži","Pārplūstošie klajumi","Dienvidkurzemes novads",779
"Valsts meži","Pārplūstošie klajumi","Dobeles novads",470
"Valsts meži","Pārplūstošie klajumi","Gulbenes novads",152
"Valsts meži","Pārplūstošie klajumi","Jelgavas novads",149
"Valsts meži","Pārplūstošie klajumi","Jēkabpils novads",228
"Valsts meži","Pārplūstošie klajumi","Krāslavas novads",79
"Valsts meži","Pārplūstošie klajumi","Kuldīgas novads",520
"Valsts meži","Pārplūstošie klajumi","Ķekavas novads",19
"Valsts meži","Pārplūstošie klajumi","Limbažu novads",107
"Valsts meži","Pārplūstošie klajumi","Līvānu novads",31
"Valsts meži","Pārplūstošie klajumi","Ludzas novads",129
"Valsts meži","Pārplūstošie klajumi","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Pārplūstošie klajumi","Madonas novads",183
"Valsts meži","Pārplūstošie klajumi","Mārupes novads",69
"Valsts meži","Pārplūstošie klajumi","Ogres novads",106
"Valsts meži","Pārplūstošie klajumi","Olaines novads",4
"Valsts meži","Pārplūstošie klajumi","Preiļu novads",16
"Valsts meži","Pārplūstošie klajumi","Rēzeknes novads",77
"Valsts meži","Pārplūstošie klajumi","Ropažu novads",22
"Valsts meži","Pārplūstošie klajumi","Salaspils novads",3
"Valsts meži","Pārplūstošie klajumi","Saldus novads",612
"Valsts meži","Pārplūstošie klajumi","Saulkrastu novads",42
"Valsts meži","Pārplūstošie klajumi","Siguldas novads",84
"Valsts meži","Pārplūstošie klajumi","Smiltenes novads",182
"Valsts meži","Pārplūstošie klajumi","Talsu novads",686
"Valsts meži","Pārplūstošie klajumi","Tukuma novads",799
"Valsts meži","Pārplūstošie klajumi","Valkas novads",140
"Valsts meži","Pārplūstošie klajumi","Valmieras novads",836
"Valsts meži","Pārplūstošie klajumi","Varakļānu novads",14
"Valsts meži","Pārplūstošie klajumi","Ventspils novads",672
"Valsts meži","Zem infrastruktūras objektiem","Latvija",74764
"Valsts meži","Zem infrastruktūras objektiem","Rīga",1
"Valsts meži","Zem infrastruktūras objektiem","Daugavpils",8
"Valsts meži","Zem infrastruktūras objektiem","Jelgava",37
"Valsts meži","Zem infrastruktūras objektiem","Jēkabpils",0
"Valsts meži","Zem infrastruktūras objektiem","Jūrmala",0
"Valsts meži","Zem infrastruktūras objektiem","Liepāja",0
"Valsts meži","Zem infrastruktūras objektiem","Ogre",1
"Valsts meži","Zem infrastruktūras objektiem","Rēzekne",0
"Valsts meži","Zem infrastruktūras objektiem","Valmiera",0
"Valsts meži","Zem infrastruktūras objektiem","Ventspils",0
"Valsts meži","Zem infrastruktūras objektiem","Aizkraukles novads",4254
"Valsts meži","Zem infrastruktūras objektiem","Alūksnes novads",2459
"Valsts meži","Zem infrastruktūras objektiem","Augšdaugavas novads",2030
"Valsts meži","Zem infrastruktūras objektiem","Ādažu novads",54
"Valsts meži","Zem infrastruktūras objektiem","Balvu novads",2659
"Valsts meži","Zem infrastruktūras objektiem","Bauskas novads",2628
"Valsts meži","Zem infrastruktūras objektiem","Cēsu novads",1065
"Valsts meži","Zem infrastruktūras objektiem","Dienvidkurzemes novads",5130
"Valsts meži","Zem infrastruktūras objektiem","Dobeles novads",1790
"Valsts meži","Zem infrastruktūras objektiem","Gulbenes novads",3176
"Valsts meži","Zem infrastruktūras objektiem","Jelgavas novads",2694
"Valsts meži","Zem infrastruktūras objektiem","Jēkabpils novads",3393
"Valsts meži","Zem infrastruktūras objektiem","Krāslavas novads",319
"Valsts meži","Zem infrastruktūras objektiem","Kuldīgas novads",3373
"Valsts meži","Zem infrastruktūras objektiem","Ķekavas novads",819
"Valsts meži","Zem infrastruktūras objektiem","Limbažu novads",2651
"Valsts meži","Zem infrastruktūras objektiem","Līvānu novads",760
"Valsts meži","Zem infrastruktūras objektiem","Ludzas novads",1345
"Valsts meži","Zem infrastruktūras objektiem","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Zem infrastruktūras objektiem","Madonas novads",3965
"Valsts meži","Zem infrastruktūras objektiem","Mārupes novads",15
"Valsts meži","Zem infrastruktūras objektiem","Ogres novads",2231
"Valsts meži","Zem infrastruktūras objektiem","Olaines novads",1065
"Valsts meži","Zem infrastruktūras objektiem","Preiļu novads",597
"Valsts meži","Zem infrastruktūras objektiem","Rēzeknes novads",1138
"Valsts meži","Zem infrastruktūras objektiem","Ropažu novads",682
"Valsts meži","Zem infrastruktūras objektiem","Salaspils novads",6
"Valsts meži","Zem infrastruktūras objektiem","Saldus novads",2848
"Valsts meži","Zem infrastruktūras objektiem","Saulkrastu novads",265
"Valsts meži","Zem infrastruktūras objektiem","Siguldas novads",891
"Valsts meži","Zem infrastruktūras objektiem","Smiltenes novads",2472
"Valsts meži","Zem infrastruktūras objektiem","Talsu novads",5227
"Valsts meži","Zem infrastruktūras objektiem","Tukuma novads",2418
"Valsts meži","Zem infrastruktūras objektiem","Valkas novads",1981
"Valsts meži","Zem infrastruktūras objektiem","Valmieras novads",2696
"Valsts meži","Zem infrastruktūras objektiem","Varakļānu novads",130
"Valsts meži","Zem infrastruktūras objektiem","Ventspils novads",5491
"Valsts meži","..ceļi","Latvija",22405
"Valsts meži","..ceļi","Rīga",1
"Valsts meži","..ceļi","Daugavpils",0
"Valsts meži","..ceļi","Jelgava",2
"Valsts meži","..ceļi","Jēkabpils",0
"Valsts meži","..ceļi","Jūrmala",0
"Valsts meži","..ceļi","Liepāja",0
"Valsts meži","..ceļi","Ogre",0
"Valsts meži","..ceļi","Rēzekne",0
"Valsts meži","..ceļi","Valmiera",0
"Valsts meži","..ceļi","Ventspils",0
"Valsts meži","..ceļi","Aizkraukles novads",1354
"Valsts meži","..ceļi","Alūksnes novads",747
"Valsts meži","..ceļi","Augšdaugavas novads",620
"Valsts meži","..ceļi","Ādažu novads",22
"Valsts meži","..ceļi","Balvu novads",746
"Valsts meži","..ceļi","Bauskas novads",974
"Valsts meži","..ceļi","Cēsu novads",461
"Valsts meži","..ceļi","Dienvidkurzemes novads",1730
"Valsts meži","..ceļi","Dobeles novads",497
"Valsts meži","..ceļi","Gulbenes novads",879
"Valsts meži","..ceļi","Jelgavas novads",593
"Valsts meži","..ceļi","Jēkabpils novads",969
"Valsts meži","..ceļi","Krāslavas novads",178
"Valsts meži","..ceļi","Kuldīgas novads",1433
"Valsts meži","..ceļi","Ķekavas novads",245
"Valsts meži","..ceļi","Limbažu novads",691
"Valsts meži","..ceļi","Līvānu novads",90
"Valsts meži","..ceļi","Ludzas novads",524
"Valsts meži","..ceļi","Madonas novads (no 01.07.2025.)",0
"Valsts meži","..ceļi","Madonas novads",852
"Valsts meži","..ceļi","Mārupes novads",0
"Valsts meži","..ceļi","Ogres novads",797
"Valsts meži","..ceļi","Olaines novads",212
"Valsts meži","..ceļi","Preiļu novads",94
"Valsts meži","..ceļi","Rēzeknes novads",401
"Valsts meži","..ceļi","Ropažu novads",152
"Valsts meži","..ceļi","Salaspils novads",4
"Valsts meži","..ceļi","Saldus novads",844
"Valsts meži","..ceļi","Saulkrastu novads",58
"Valsts meži","..ceļi","Siguldas novads",251
"Valsts meži","..ceļi","Smiltenes novads",694
"Valsts meži","..ceļi","Talsu novads",1571
"Valsts meži","..ceļi","Tukuma novads",798
"Valsts meži","..ceļi","Valkas novads",419
"Valsts meži","..ceļi","Valmieras novads",672
"Valsts meži","..ceļi","Varakļānu novads",21
"Valsts meži","..ceļi","Ventspils novads",1808
"Valsts meži","..grāvji","Latvija",52359
"Valsts meži","..grāvji","Rīga",0
"Valsts meži","..grāvji","Daugavpils",8
"Valsts meži","..grāvji","Jelgava",35
"Valsts meži","..grāvji","Jēkabpils",0
"Valsts meži","..grāvji","Jūrmala",0
"Valsts meži","..grāvji","Liepāja",0
"Valsts meži","..grāvji","Ogre",1
"Valsts meži","..grāvji","Rēzekne",0
"Valsts meži","..grāvji","Valmiera",0
"Valsts meži","..grāvji","Ventspils",0
"Valsts meži","..grāvji","Aizkraukles novads",2900
"Valsts meži","..grāvji","Alūksnes novads",1713
"Valsts meži","..grāvji","Augšdaugavas novads",1410
"Valsts meži","..grāvji","Ādažu novads",31
"Valsts meži","..grāvji","Balvu novads",1913
"Valsts meži","..grāvji","Bauskas novads",1654
"Valsts meži","..grāvji","Cēsu novads",604
"Valsts meži","..grāvji","Dienvidkurzemes novads",3399
"Valsts meži","..grāvji","Dobeles novads",1293
"Valsts meži","..grāvji","Gulbenes novads",2297
"Valsts meži","..grāvji","Jelgavas novads",2101
"Valsts meži","..grāvji","Jēkabpils novads",2423
"Valsts meži","..grāvji","Krāslavas novads",140
"Valsts meži","..grāvji","Kuldīgas novads",1940
"Valsts meži","..grāvji","Ķekavas novads",574
"Valsts meži","..grāvji","Limbažu novads",1960
"Valsts meži","..grāvji","Līvānu novads",669
"Valsts meži","..grāvji","Ludzas novads",821
"Valsts meži","..grāvji","Madonas novads (no 01.07.2025.)",0
"Valsts meži","..grāvji","Madonas novads",3113
"Valsts meži","..grāvji","Mārupes novads",15
"Valsts meži","..grāvji","Ogres novads",1434
"Valsts meži","..grāvji","Olaines novads",854
"Valsts meži","..grāvji","Preiļu novads",503
"Valsts meži","..grāvji","Rēzeknes novads",737
"Valsts meži","..grāvji","Ropažu novads",530
"Valsts meži","..grāvji","Salaspils novads",2
"Valsts meži","..grāvji","Saldus novads",2003
"Valsts meži","..grāvji","Saulkrastu novads",208
"Valsts meži","..grāvji","Siguldas novads",641
"Valsts meži","..grāvji","Smiltenes novads",1778
"Valsts meži","..grāvji","Talsu novads",3657
"Valsts meži","..grāvji","Tukuma novads",1620
"Valsts meži","..grāvji","Valkas novads",1562
"Valsts meži","..grāvji","Valmieras novads",2024
"Valsts meži","..grāvji","Varakļānu novads",109
"Valsts meži","..grāvji","Ventspils novads",3684
"Valsts meži","Pārējās meža zemes","Latvija",10027
"Valsts meži","Pārējās meža zemes","Rīga",0
"Valsts meži","Pārējās meža zemes","Daugavpils",0
"Valsts meži","Pārējās meža zemes","Jelgava",0
"Valsts meži","Pārējās meža zemes","Jēkabpils",0
"Valsts meži","Pārējās meža zemes","Jūrmala",2
"Valsts meži","Pārējās meža zemes","Liepāja",0
"Valsts meži","Pārējās meža zemes","Ogre",0
"Valsts meži","Pārējās meža zemes","Rēzekne",0
"Valsts meži","Pārējās meža zemes","Valmiera",1
"Valsts meži","Pārējās meža zemes","Ventspils",0
"Valsts meži","Pārējās meža zemes","Aizkraukles novads",1198
"Valsts meži","Pārējās meža zemes","Alūksnes novads",270
"Valsts meži","Pārējās meža zemes","Augšdaugavas novads",221
"Valsts meži","Pārējās meža zemes","Ādažu novads",2793
"Valsts meži","Pārējās meža zemes","Balvu novads",17
"Valsts meži","Pārējās meža zemes","Bauskas novads",1000
"Valsts meži","Pārējās meža zemes","Cēsu novads",149
"Valsts meži","Pārējās meža zemes","Dienvidkurzemes novads",412
"Valsts meži","Pārējās meža zemes","Dobeles novads",74
"Valsts meži","Pārējās meža zemes","Gulbenes novads",24
"Valsts meži","Pārējās meža zemes","Jelgavas novads",10
"Valsts meži","Pārējās meža zemes","Jēkabpils novads",61
"Valsts meži","Pārējās meža zemes","Krāslavas novads",11
"Valsts meži","Pārējās meža zemes","Kuldīgas novads",234
"Valsts meži","Pārējās meža zemes","Ķekavas novads",6
"Valsts meži","Pārējās meža zemes","Limbažu novads",306
"Valsts meži","Pārējās meža zemes","Līvānu novads",60
"Valsts meži","Pārējās meža zemes","Ludzas novads",220
"Valsts meži","Pārējās meža zemes","Madonas novads (no 01.07.2025.)",0
"Valsts meži","Pārējās meža zemes","Madonas novads",615
"Valsts meži","Pārējās meža zemes","Mārupes novads",0
"Valsts meži","Pārējās meža zemes","Ogres novads",220
"Valsts meži","Pārējās meža zemes","Olaines novads",0
"Valsts meži","Pārējās meža zemes","Preiļu novads",7
"Valsts meži","Pārējās meža zemes","Rēzeknes novads",9
"Valsts meži","Pārējās meža zemes","Ropažu novads",4
"Valsts meži","Pārējās meža zemes","Salaspils novads",0
"Valsts meži","Pārējās meža zemes","Saldus novads",519
"Valsts meži","Pārējās meža zemes","Saulkrastu novads",268
"Valsts meži","Pārējās meža zemes","Siguldas novads",396
"Valsts meži","Pārējās meža zemes","Smiltenes novads",89
"Valsts meži","Pārējās meža zemes","Talsu novads",232
"Valsts meži","Pārējās meža zemes","Tukuma novads",143
"Valsts meži","Pārējās meža zemes","Valkas novads",47
"Valsts meži","Pārējās meža zemes","Valmieras novads",285
"Valsts meži","Pārējās meža zemes","Varakļānu novads",0
"Valsts meži","Pārējās meža zemes","Ventspils novads",125
"Pārējie meži","Meža zeme","Latvija",1721807
"Pārējie meži","Meža zeme","Rīga",5317
"Pārējie meži","Meža zeme","Daugavpils",1463
"Pārējie meži","Meža zeme","Jelgava",754
"Pārējie meži","Meža zeme","Jēkabpils",107
"Pārējie meži","Meža zeme","Jūrmala",2403
"Pārējie meži","Meža zeme","Liepāja",1181
"Pārējie meži","Meža zeme","Ogre",216
"Pārējie meži","Meža zeme","Rēzekne",8
"Pārējie meži","Meža zeme","Valmiera",331
"Pārējie meži","Meža zeme","Ventspils",1086
"Pārējie meži","Meža zeme","Aizkraukles novads",58614
"Pārējie meži","Meža zeme","Alūksnes novads",63094
"Pārējie meži","Meža zeme","Augšdaugavas novads",49382
"Pārējie meži","Meža zeme","Ādažu novads",5593
"Pārējie meži","Meža zeme","Balvu novads",71563
"Pārējie meži","Meža zeme","Bauskas novads",33623
"Pārējie meži","Meža zeme","Cēsu novads",110369
"Pārējie meži","Meža zeme","Dienvidkurzemes novads",71960
"Pārējie meži","Meža zeme","Dobeles novads",19910
"Pārējie meži","Meža zeme","Gulbenes novads",53519
"Pārējie meži","Meža zeme","Jelgavas novads",10092
"Pārējie meži","Meža zeme","Jēkabpils novads",74062
"Pārējie meži","Meža zeme","Krāslavas novads",79406
"Pārējie meži","Meža zeme","Kuldīgas novads",64178
"Pārējie meži","Meža zeme","Ķekavas novads",11810
"Pārējie meži","Meža zeme","Limbažu novads",86994
"Pārējie meži","Meža zeme","Līvānu novads",10781
"Pārējie meži","Meža zeme","Ludzas novads",88818
"Pārējie meži","Meža zeme","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Meža zeme","Madonas novads",105195
"Pārējie meži","Meža zeme","Mārupes novads",14157
"Pārējie meži","Meža zeme","Ogres novads",56839
"Pārējie meži","Meža zeme","Olaines novads",10118
"Pārējie meži","Meža zeme","Preiļu novads",38601
"Pārējie meži","Meža zeme","Rēzeknes novads",76215
"Pārējie meži","Meža zeme","Ropažu novads",24584
"Pārējie meži","Meža zeme","Salaspils novads",3467
"Pārējie meži","Meža zeme","Saldus novads",46822
"Pārējie meži","Meža zeme","Saulkrastu novads",7335
"Pārējie meži","Meža zeme","Siguldas novads",30237
"Pārējie meži","Meža zeme","Smiltenes novads",55565
"Pārējie meži","Meža zeme","Talsu novads",61511
"Pārējie meži","Meža zeme","Tukuma novads",46026
"Pārējie meži","Meža zeme","Valkas novads",22481
"Pārējie meži","Meža zeme","Valmieras novads",97558
"Pārējie meži","Meža zeme","Varakļānu novads",2716
"Pārējie meži","Meža zeme","Ventspils novads",46397
"Pārējie meži","Mežs","Latvija",1640920
"Pārējie meži","Mežs","Rīga",5201
"Pārējie meži","Mežs","Daugavpils",1436
"Pārējie meži","Mežs","Jelgava",733
"Pārējie meži","Mežs","Jēkabpils",106
"Pārējie meži","Mežs","Jūrmala",2294
"Pārējie meži","Mežs","Liepāja",999
"Pārējie meži","Mežs","Ogre",213
"Pārējie meži","Mežs","Rēzekne",8
"Pārējie meži","Mežs","Valmiera",328
"Pārējie meži","Mežs","Ventspils",952
"Pārējie meži","Mežs","Aizkraukles novads",56690
"Pārējie meži","Mežs","Alūksnes novads",60328
"Pārējie meži","Mežs","Augšdaugavas novads",46823
"Pārējie meži","Mežs","Ādažu novads",5456
"Pārējie meži","Mežs","Balvu novads",68974
"Pārējie meži","Mežs","Bauskas novads",32153
"Pārējie meži","Mežs","Cēsu novads",106198
"Pārējie meži","Mežs","Dienvidkurzemes novads",67747
"Pārējie meži","Mežs","Dobeles novads",18897
"Pārējie meži","Mežs","Gulbenes novads",51764
"Pārējie meži","Mežs","Jelgavas novads",9650
"Pārējie meži","Mežs","Jēkabpils novads",71100
"Pārējie meži","Mežs","Krāslavas novads",75439
"Pārējie meži","Mežs","Kuldīgas novads",61294
"Pārējie meži","Mežs","Ķekavas novads",11071
"Pārējie meži","Mežs","Limbažu novads",83518
"Pārējie meži","Mežs","Līvānu novads",10447
"Pārējie meži","Mežs","Ludzas novads",83934
"Pārējie meži","Mežs","Madonas novads (no 01.07.2025.)",0
"Pārējie meži","Mežs","Madonas novads",100925
"Pārējie meži","Mežs","Mārupes novads",10917
"Pārējie meži","Mežs","Ogres novads",54762
