"Length of state and municipal roads and streets in regions, State cities and municipalities at the end of year (km) by Territorial unit, Types of surface, Indicator and Time period"
"Mārupe municipality","Asphalt and other bituminous surfaces","Total",256
"Mārupe municipality","Asphalt and other bituminous surfaces","State roads",95
"Mārupe municipality","Asphalt and other bituminous surfaces","Municipal roads",46
"Mārupe municipality","Asphalt and other bituminous surfaces","Municipal streets",115
"Mārupe municipality","Crushed stone and gravel surfaces","Total",157
"Mārupe municipality","Crushed stone and gravel surfaces","State roads",4
"Mārupe municipality","Crushed stone and gravel surfaces","Municipal roads",117
"Mārupe municipality","Crushed stone and gravel surfaces","Municipal streets",36
"Ogre municipality","Total","Total",2039
"Ogre municipality","Total","State roads",680
"Ogre municipality","Total","Municipal roads",1030
"Ogre municipality","Total","Municipal streets",329
"Ogre municipality","Asphalt and other bituminous surfaces","Total",610
"Ogre municipality","Asphalt and other bituminous surfaces","State roads",403
"Ogre municipality","Asphalt and other bituminous surfaces","Municipal roads",33
"Ogre municipality","Asphalt and other bituminous surfaces","Municipal streets",174
"Ogre municipality","Crushed stone and gravel surfaces","Total",1430
"Ogre municipality","Crushed stone and gravel surfaces","State roads",277
"Ogre municipality","Crushed stone and gravel surfaces","Municipal roads",997
"Ogre municipality","Crushed stone and gravel surfaces","Municipal streets",155
"Olaine municipality","Total","Total",201
"Olaine municipality","Total","State roads",93
"Olaine municipality","Total","Municipal roads",70
"Olaine municipality","Total","Municipal streets",38
"Olaine municipality","Asphalt and other bituminous surfaces","Total",128
"Olaine municipality","Asphalt and other bituminous surfaces","State roads",71
"Olaine municipality","Asphalt and other bituminous surfaces","Municipal roads",26
"Olaine municipality","Asphalt and other bituminous surfaces","Municipal streets",31
"Olaine municipality","Crushed stone and gravel surfaces","Total",74
"Olaine municipality","Crushed stone and gravel surfaces","State roads",23
"Olaine municipality","Crushed stone and gravel surfaces","Municipal roads",44
"Olaine municipality","Crushed stone and gravel surfaces","Municipal streets",7
"Preiļi municipality","Total","Total",1385
"Preiļi municipality","Total","State roads",471
"Preiļi municipality","Total","Municipal roads",835
"Preiļi municipality","Total","Municipal streets",80
"Preiļi municipality","Asphalt and other bituminous surfaces","Total",345
"Preiļi municipality","Asphalt and other bituminous surfaces","State roads",253
"Preiļi municipality","Asphalt and other bituminous surfaces","Municipal roads",28
"Preiļi municipality","Asphalt and other bituminous surfaces","Municipal streets",64
"Preiļi municipality","Crushed stone and gravel surfaces","Total",1041
"Preiļi municipality","Crushed stone and gravel surfaces","State roads",218
"Preiļi municipality","Crushed stone and gravel surfaces","Municipal roads",807
"Preiļi municipality","Crushed stone and gravel surfaces","Municipal streets",16
"Rēzekne municipality","Total","Total",2651
"Rēzekne municipality","Total","State roads",858
"Rēzekne municipality","Total","Municipal roads",1647
"Rēzekne municipality","Total","Municipal streets",147
"Rēzekne municipality","Asphalt and other bituminous surfaces","Total",613
"Rēzekne municipality","Asphalt and other bituminous surfaces","State roads",478
"Rēzekne municipality","Asphalt and other bituminous surfaces","Municipal roads",53
"Rēzekne municipality","Asphalt and other bituminous surfaces","Municipal streets",81
"Rēzekne municipality","Crushed stone and gravel surfaces","Total",2038
"Rēzekne municipality","Crushed stone and gravel surfaces","State roads",379
"Rēzekne municipality","Crushed stone and gravel surfaces","Municipal roads",1593
"Rēzekne municipality","Crushed stone and gravel surfaces","Municipal streets",66
"Ropaži municipality","Total","Total",613
"Ropaži municipality","Total","State roads",193
"Ropaži municipality","Total","Municipal roads",228
"Ropaži municipality","Total","Municipal streets",192
"Ropaži municipality","Asphalt and other bituminous surfaces","Total",254
"Ropaži municipality","Asphalt and other bituminous surfaces","State roads",155
"Ropaži municipality","Asphalt and other bituminous surfaces","Municipal roads",11
"Ropaži municipality","Asphalt and other bituminous surfaces","Municipal streets",88
"Ropaži municipality","Crushed stone and gravel surfaces","Total",358
"Ropaži municipality","Crushed stone and gravel surfaces","State roads",37
"Ropaži municipality","Crushed stone and gravel surfaces","Municipal roads",217
"Ropaži municipality","Crushed stone and gravel surfaces","Municipal streets",104
"Salaspils municipality","Total","Total",180
"Salaspils municipality","Total","State roads",42
"Salaspils municipality","Total","Municipal roads",64
"Salaspils municipality","Total","Municipal streets",74
"Salaspils municipality","Asphalt and other bituminous surfaces","Total",113
"Salaspils municipality","Asphalt and other bituminous surfaces","State roads",41
"Salaspils municipality","Asphalt and other bituminous surfaces","Municipal roads",16
"Salaspils municipality","Asphalt and other bituminous surfaces","Municipal streets",57
"Salaspils municipality","Crushed stone and gravel surfaces","Total",67
"Salaspils municipality","Crushed stone and gravel surfaces","State roads",1
"Salaspils municipality","Crushed stone and gravel surfaces","Municipal roads",48
"Salaspils municipality","Crushed stone and gravel surfaces","Municipal streets",18
"Saldus municipality","Total","Total",1603
"Saldus municipality","Total","State roads",595
"Saldus municipality","Total","Municipal roads",885
"Saldus municipality","Total","Municipal streets",123
"Saldus municipality","Asphalt and other bituminous surfaces","Total",424
"Saldus municipality","Asphalt and other bituminous surfaces","State roads",279
"Saldus municipality","Asphalt and other bituminous surfaces","Municipal roads",44
"Saldus municipality","Asphalt and other bituminous surfaces","Municipal streets",101
"Saldus municipality","Crushed stone and gravel surfaces","Total",1179
"Saldus municipality","Crushed stone and gravel surfaces","State roads",316
"Saldus municipality","Crushed stone and gravel surfaces","Municipal roads",842
"Saldus municipality","Crushed stone and gravel surfaces","Municipal streets",22
"Saulkrasti municipality","Total","Total",386
"Saulkrasti municipality","Total","State roads",77
"Saulkrasti municipality","Total","Municipal roads",218
"Saulkrasti municipality","Total","Municipal streets",91
"Saulkrasti municipality","Asphalt and other bituminous surfaces","Total",136
"Saulkrasti municipality","Asphalt and other bituminous surfaces","State roads",69
"Saulkrasti municipality","Asphalt and other bituminous surfaces","Municipal roads",30
"Saulkrasti municipality","Asphalt and other bituminous surfaces","Municipal streets",38
"Saulkrasti municipality","Crushed stone and gravel surfaces","Total",249
"Saulkrasti municipality","Crushed stone and gravel surfaces","State roads",8
"Saulkrasti municipality","Crushed stone and gravel surfaces","Municipal roads",188
"Saulkrasti municipality","Crushed stone and gravel surfaces","Municipal streets",53
"Sigulda municipality","Total","Total",1072
"Sigulda municipality","Total","State roads",398
"Sigulda municipality","Total","Municipal roads",466
"Sigulda municipality","Total","Municipal streets",208
"Sigulda municipality","Asphalt and other bituminous surfaces","Total",372
"Sigulda municipality","Asphalt and other bituminous surfaces","State roads",258
"Sigulda municipality","Asphalt and other bituminous surfaces","Municipal roads",21
"Sigulda municipality","Asphalt and other bituminous surfaces","Municipal streets",93
"Sigulda municipality","Crushed stone and gravel surfaces","Total",700
"Sigulda municipality","Crushed stone and gravel surfaces","State roads",140
"Sigulda municipality","Crushed stone and gravel surfaces","Municipal roads",445
"Sigulda municipality","Crushed stone and gravel surfaces","Municipal streets",116
"Smiltene municipality","Total","Total",1371
"Smiltene municipality","Total","State roads",633
"Smiltene municipality","Total","Municipal roads",619
"Smiltene municipality","Total","Municipal streets",119
"Smiltene municipality","Asphalt and other bituminous surfaces","Total",409
"Smiltene municipality","Asphalt and other bituminous surfaces","State roads",305
"Smiltene municipality","Asphalt and other bituminous surfaces","Municipal roads",27
"Smiltene municipality","Asphalt and other bituminous surfaces","Municipal streets",76
"Smiltene municipality","Crushed stone and gravel surfaces","Total",962
"Smiltene municipality","Crushed stone and gravel surfaces","State roads",327
"Smiltene municipality","Crushed stone and gravel surfaces","Municipal roads",592
"Smiltene municipality","Crushed stone and gravel surfaces","Municipal streets",43
"Talsi municipality","Total","Total",2148
"Talsi municipality","Total","State roads",939
"Talsi municipality","Total","Municipal roads",999
"Talsi municipality","Total","Municipal streets",210
"Talsi municipality","Asphalt and other bituminous surfaces","Total",674
"Talsi municipality","Asphalt and other bituminous surfaces","State roads",490
"Talsi municipality","Asphalt and other bituminous surfaces","Municipal roads",67
"Talsi municipality","Asphalt and other bituminous surfaces","Municipal streets",117
"Talsi municipality","Crushed stone and gravel surfaces","Total",1473
"Talsi municipality","Crushed stone and gravel surfaces","State roads",449
"Talsi municipality","Crushed stone and gravel surfaces","Municipal roads",931
"Talsi municipality","Crushed stone and gravel surfaces","Municipal streets",93
"Tukums municipality","Total","Total",2175
"Tukums municipality","Total","State roads",841
"Tukums municipality","Total","Municipal roads",1192
"Tukums municipality","Total","Municipal streets",142
"Tukums municipality","Asphalt and other bituminous surfaces","Total",716
"Tukums municipality","Asphalt and other bituminous surfaces","State roads",480
"Tukums municipality","Asphalt and other bituminous surfaces","Municipal roads",147
"Tukums municipality","Asphalt and other bituminous surfaces","Municipal streets",88
"Tukums municipality","Crushed stone and gravel surfaces","Total",1459
"Tukums municipality","Crushed stone and gravel surfaces","State roads",361
"Tukums municipality","Crushed stone and gravel surfaces","Municipal roads",1045
"Tukums municipality","Crushed stone and gravel surfaces","Municipal streets",54
"Valka municipality","Total","Total",492
"Valka municipality","Total","State roads",222
"Valka municipality","Total","Municipal roads",221
"Valka municipality","Total","Municipal streets",49
"Valka municipality","Asphalt and other bituminous surfaces","Total",151
"Valka municipality","Asphalt and other bituminous surfaces","State roads",103
"Valka municipality","Asphalt and other bituminous surfaces","Municipal roads",7
"Valka municipality","Asphalt and other bituminous surfaces","Municipal streets",41
"Valka municipality","Crushed stone and gravel surfaces","Total",341
"Valka municipality","Crushed stone and gravel surfaces","State roads",119
"Valka municipality","Crushed stone and gravel surfaces","Municipal roads",215
"Valka municipality","Crushed stone and gravel surfaces","Municipal streets",8
"Valmiera municipality","Total","Total",2075
"Valmiera municipality","Total","State roads",932
"Valmiera municipality","Total","Municipal roads",856
"Valmiera municipality","Total","Municipal streets",287
"Valmiera municipality","Asphalt and other bituminous surfaces","Total",719
"Valmiera municipality","Asphalt and other bituminous surfaces","State roads",492
"Valmiera municipality","Asphalt and other bituminous surfaces","Municipal roads",62
"Valmiera municipality","Asphalt and other bituminous surfaces","Municipal streets",165
"Valmiera municipality","Crushed stone and gravel surfaces","Total",1356
"Valmiera municipality","Crushed stone and gravel surfaces","State roads",440
"Valmiera municipality","Crushed stone and gravel surfaces","Municipal roads",794
"Valmiera municipality","Crushed stone and gravel surfaces","Municipal streets",122
"Varakļāni municipality","Total","Total",234
"Varakļāni municipality","Total","State roads",55
"Varakļāni municipality","Total","Municipal roads",149
"Varakļāni municipality","Total","Municipal streets",29
"Varakļāni municipality","Asphalt and other bituminous surfaces","Total",69
"Varakļāni municipality","Asphalt and other bituminous surfaces","State roads",35
"Varakļāni municipality","Asphalt and other bituminous surfaces","Municipal roads",12
"Varakļāni municipality","Asphalt and other bituminous surfaces","Municipal streets",21
"Varakļāni municipality","Crushed stone and gravel surfaces","Total",165
"Varakļāni municipality","Crushed stone and gravel surfaces","State roads",20
"Varakļāni municipality","Crushed stone and gravel surfaces","Municipal roads",137
"Varakļāni municipality","Crushed stone and gravel surfaces","Municipal streets",8
"Ventspils municipality","Total","Total",1455
"Ventspils municipality","Total","State roads",657
"Ventspils municipality","Total","Municipal roads",783
"Ventspils municipality","Total","Municipal streets",16
"Ventspils municipality","Asphalt and other bituminous surfaces","Total",395
"Ventspils municipality","Asphalt and other bituminous surfaces","State roads",332
"Ventspils municipality","Asphalt and other bituminous surfaces","Municipal roads",57
"Ventspils municipality","Asphalt and other bituminous surfaces","Municipal streets",7
"Ventspils municipality","Crushed stone and gravel surfaces","Total",1060
"Ventspils municipality","Crushed stone and gravel surfaces","State roads",325
"Ventspils municipality","Crushed stone and gravel surfaces","Municipal roads",726
"Ventspils municipality","Crushed stone and gravel surfaces","Municipal streets",9
