"Conventional dwellings and persons living in them by type of building and by year of construction in regions, cities, municipalities and neighbourhoods by Type of building, Occupancy status of dwelling, Period of construction, Unit and Time period"

"Type of building","Occupancy status of dwelling","Period of construction","Conventional dwellings 2011","Conventional dwellings 2021","Persons residing conventional dwellings 2011","Persons residing conventional dwellings 2021"
"One-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",14560,16901,48044,50943
"One-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",465,4586,1454,13391
"One-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed after 2015",0,4254,0,12420
"One-dwelling residential buildings","Occupied","Not stated",556,2510,1221,6470
"Two-dwelling residential buildings","Occupied and unoccupied","Total",19738,28208,41416,42933
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",3762,5906,7373,8062
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",5599,9164,11297,12860
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",4590,5765,9335,8975
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",3354,3635,7673,5951
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",1055,900,2602,1462
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2001 – 2010",1249,1496,2970,3430
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2011 – 2015",56,472,99,976
"Two-dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed after 2015",0,642,0,1000
"Two-dwelling residential buildings","Occupied and unoccupied","Not stated",73,228,67,217
"Two-dwelling residential buildings","Occupied","Total",15685,17875,41416,42933
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed before 1919",2906,3493,7373,8062
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1919 – 1945",4333,5499,11297,12860
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1946 – 1960",3726,3943,9335,8975
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in1961 – 1980",2855,2510,7673,5951
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1981 – 2000",891,549,2602,1462
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",907,1128,2970,3430
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",29,303,99,976
"Two-dwelling residential buildings","Occupied","Dwellings in buildings, which were completed after 2015",0,362,0,1000
"Two-dwelling residential buildings","Occupied","Not stated",38,88,67,217
"Three or more dwelling residential buildings","Occupied and unoccupied","Total",712125,736308,1340807,1232012
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",79831,85344,119185,108496
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",42665,44347,68232,56384
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",50160,50113,90406,79528
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",323131,324048,631046,566462
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",186423,187855,390303,348022
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2001 – 2010",28826,31034,40852,56199
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2011 – 2015",591,6364,400,9159
"Three or more dwelling residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed after 2015",0,6535,0,7284
"Three or more dwelling residential buildings","Occupied and unoccupied","Not stated",498,668,383,478
"Three or more dwelling residential buildings","Occupied","Total",591548,592503,1340807,1232012
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed before 1919",55771,52124,119185,108496
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1919 – 1945",30481,26530,68232,56384
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1946 – 1960",40934,38821,90406,79528
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in1961 – 1980",282729,278938,631046,566462
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 1981 – 2000",163914,163326,390303,348022
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",17353,24540,40852,56199
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",192,4231,400,9159
"Three or more dwelling residential buildings","Occupied","Dwellings in buildings, which were completed after 2015",0,3779,0,7284
"Three or more dwelling residential buildings","Occupied","Not stated",174,214,383,478
"Non-residential buildings","Occupied and unoccupied","Total",1357,6366,1441,4401
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",264,2389,301,1859
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",276,1524,220,1058
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",144,569,210,365
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",307,762,290,674
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",263,569,292,196
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2001 – 2010",84,288,113,137
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 2011 – 2015",8,74,2,67
"Non-residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed after 2015",0,17,0,0
"Non-residential buildings","Occupied and unoccupied","Not stated",11,174,13,45
"Non-residential buildings","Occupied","Total",605,2073,1441,4401
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed before 1919",123,869,301,1859
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in 1919 – 1945",108,509,220,1058
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in 1946 – 1960",87,191,210,365
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in1961 – 1980",119,290,290,674
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in 1981 – 2000",110,75,292,196
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",48,62,113,137
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",2,53,2,67
"Non-residential buildings","Occupied","Dwellings in buildings, which were completed after 2015",0,0,0,0
"Non-residential buildings","Occupied","Not stated",8,24,13,45
"Not stated","Occupied and unoccupied","Total",15086,0,14440,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",732,0,878,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",528,0,606,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",356,0,437,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",1299,0,1433,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",291,0,336,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in 2001 – 2010",180,0,244,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed in 2011 – 2015",6,0,9,0
"Not stated","Occupied and unoccupied","Dwellings in buildings, which were completed after 2015",0,0,0,0
"Not stated","Occupied and unoccupied","Not stated",11694,0,10497,0
"Not stated","Occupied","Total",10834,0,14440,0
"Not stated","Occupied","Dwellings in buildings, which were completed before 1919",612,0,878,0
"Not stated","Occupied","Dwellings in buildings, which were completed in 1919 – 1945",431,0,606,0
"Not stated","Occupied","Dwellings in buildings, which were completed in 1946 – 1960",310,0,437,0
"Not stated","Occupied","Dwellings in buildings, which were completed in1961 – 1980",898,0,1433,0
"Not stated","Occupied","Dwellings in buildings, which were completed in 1981 – 2000",217,0,336,0
"Not stated","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",156,0,244,0
"Not stated","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",6,0,9,0
"Not stated","Occupied","Dwellings in buildings, which were completed after 2015",0,0,0,0
"Not stated","Occupied","Not stated",8204,0,10497,0
