Municipality,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%
Gramzdas pag.,159.44,229,0.0,0.0
Griškānu pag.,237.52,739,0.0,0.0
Grobiņa,93.94,633,0.0,0.0
Grobiņas pag.,418.59,957,0.0,0.0
Grundzāles pag.,215.21,419,0.0,0.0
Grāveru pag.,127.74,174,0.0,0.0
Gudenieku pag.,269.58,647,0.0,0.0
Gulbene,159.63,1067,1380.0,11.57
Gārsenes pag.,108.44,207,0.0,0.0
Iecava,189.53,1313,0.0,0.0
Iecavas pag.,748.35,1838,0.0,0.0
Ikšķile,161.26,1139,0.0,0.0
Ilzenes pag.,82.86,137,0.0,0.0
Ilzeskalna pag.,129.99,160,0.0,0.0
Ilūkste,59.51,246,0.0,0.0
Indras pag.,198.29,258,0.0,0.0
Indrānu pag.,371.54,382,0.0,0.0
Inešu pag.,179.85,323,0.0,0.0
Inčukalna pag.,583.25,2176,0.0,0.0
Ipiķu pag.,118.19,113,0.0,0.0
Irlavas pag.,236.25,386,0.0,0.0
Iršu pag.,125.44,127,0.0,0.0
Isnaudas pag.,205.18,327,0.0,0.0
Istras pag.,239.76,267,0.0,0.0
Izvaltas pag.,177.31,181,0.0,0.0
Jaunalūksnes pag.,390.74,1012,0.0,0.0
Jaunannas pag.,157.27,179,0.0,0.0
Jaunauces pag.,98.38,120,0.0,0.0
Jaunbērzes pag.,202.31,304,0.0,0.0
Jaungulbenes pag.,169.08,253,0.0,0.0
Jaunjelgava,59.96,301,0.0,0.0
Jaunjelgavas pag.,20.36,32,0.0,0.0
Jaunlaicenes pag.,106.0,185,0.0,0.0
Jaunlutriņu pag.,227.12,276,0.0,0.0
Jaunpiebalgas pag.,387.46,669,0.0,0.0
Jaunpils pag.,294.19,398,0.0,0.0
Jaunsvirlaukas pag.,259.81,668,0.0,0.0
Jaunsātu pag.,193.05,399,0.0,0.0
Jelgava,840.72,7302,1552.0,54.17
Jersikas pag.,156.38,256,0.0,0.0
Jeru pag.,205.84,276,0.0,0.0
Jumpravas pag.,200.85,418,0.0,0.0
Jumurdas pag.,200.5,240,0.0,0.0
Jēkabpils,496.97,4609,2401.0,20.7
Jērcēnu pag.,182.0,298,0.0,0.0
Jūrkalnes pag.,271.06,508,0.0,0.0
Jūrmala,1214.22,8746,0.0,0.0
Kabiles pag.,283.36,502,0.0,0.0
Kaives pag.,158.35,307,0.0,0.0
Kalkūnes pag.,196.24,481,0.0,0.0
Kalna pag.,242.97,168,0.0,0.0
Kalncempju pag.,53.6,75,0.0,0.0
Kalnciema pag.,138.45,600,0.0,0.0
Kalniešu pag.,182.51,227,0.0,0.0
Kalsnavas pag.,342.01,712,0.0,0.0
Kalupes pag.,192.43,144,0.0,0.0
Kalvenes pag.,220.51,359,0.0,0.0
Kalētu pag.,118.4,224,0.0,0.0
Kandava,131.15,645,0.0,0.0
Kandavas pag.,312.35,595,0.0,0.0
Kantinieku pag.,69.71,68,0.0,0.0
Kaplavas pag.,289.59,345,0.0,0.0
Kastuļinas pag.,160.71,139,0.0,0.0
Katvaru pag.,241.77,433,0.0,0.0
Kauguru pag.,299.44,974,0.0,0.0
Kaunatas pag.,261.24,484,0.0,0.0
Kazdangas pag.,267.98,543,0.0,0.0
Klintaines pag.,233.68,467,0.0,0.0
Kocēnu pag.,541.16,1710,0.0,0.0
Koknese,62.01,545,0.0,0.0
Kokneses pag.,306.73,586,0.0,0.0
Kolkas pag.,321.23,794,0.0,0.0
Kombuļu pag.,173.1,280,0.0,0.0
Konstantinovas pag.,115.12,115,0.0,0.0
Krapes pag.,144.31,170,0.0,0.0
Krimuldas pag.,611.23,2388,0.0,0.0
Krimūnu pag.,169.4,351,0.0,0.0
Krišjāņu pag.,108.42,142,0.0,0.0
Krustpils pag.,211.62,418,0.0,0.0
Krāslava,150.98,939,2183.0,6.92
Krāslavas pag.,212.1,314,0.0,0.0
Kubulu pag.,279.17,449,0.0,0.0
Kuldīga,258.47,2725,1973.0,13.1
Kupravas pag.,41.64,44,0.0,0.0
Kurmenes pag.,213.63,334,0.0,0.0
Kurmāles pag.,313.49,855,0.0,0.0
Kursīšu pag.,204.2,224,0.0,0.0
Kārsava,36.41,149,0.0,0.0
Kārķu pag.,171.06,272,0.0,0.0
Kūku pag.,352.87,777,0.0,0.0
Laidu pag.,220.19,394,0.0,0.0
Laidzes pag.,236.49,807,0.0,0.0
Lapmežciema pag.,192.48,860,0.0,0.0
Lauberes pag.,136.37,143,0.0,0.0
Laucesas pag.,207.75,320,0.0,0.0
Laucienes pag.,454.24,844,0.0,0.0
Lauderu pag.,112.82,125,0.0,0.0
Launkalnes pag.,488.35,770,0.0,0.0
Lazdonas pag.,189.76,766,0.0,0.0
Lazdukalna pag.,207.98,282,0.0,0.0
Lazdulejas pag.,71.94,95,0.0,0.0
Lažas pag.,282.38,511,0.0,0.0
Leimaņu pag.,142.72,65,0.0,0.0
Lejasciema pag.,504.67,458,0.0,0.0
Lendžu pag.,122.7,185,0.0,0.0
Lestenes pag.,138.63,292,0.0,0.0
Lielauces pag.,130.92,151,0.0,0.0
Lielplatones pag.,90.28,156,0.0,0.0
Lielvārde,141.67,1087,0.0,0.0
Lielvārdes pag.,120.72,220,0.0,0.0
Liepas pag.,208.67,599,0.0,0.0
Liepnas pag.,329.75,279,0.0,0.0
Liepupes pag.,305.12,796,0.0,0.0
Liepāja,922.16,7507,0.0,0.0
Liezēres pag.,429.29,508,0.0,0.0
Limbaži,186.13,2017,2272.0,8.19
Limbažu pag.,372.77,746,0.0,0.0
Litenes pag.,186.73,259,0.0,0.0
Lizuma pag.,249.22,453,0.0,0.0
Lodes pag.,98.04,125,0.0,0.0
Lubes pag.,166.97,281,0.0,0.0
Lubāna,43.99,194,0.0,0.0
Ludza,134.77,584,2160.0,6.24
Lutriņu pag.,193.97,290,0.0,0.0
Lēdmanes pag.,187.97,721,0.0,0.0
Lēdurgas pag.,196.69,475,0.0,0.0
Lībagu pag.,455.94,1101,0.0,0.0
Līdumnieku pag.,164.9,153,0.0,0.0
Līgatne,81.82,710,0.0,0.0
Līgatnes pag.,349.84,1090,0.0,0.0
Līgo pag.,100.47,78,0.0,0.0
Līksnas pag.,514.27,994,0.0,0.0
Līvbērzes pag.,317.89,820,0.0,0.0
Līvāni,123.88,772,446.0,27.78
Lūznavas pag.,187.33,439,0.0,0.0
Madlienas pag.,303.17,467,0.0,0.0
Madona,218.25,1641,2464.0,8.86
Malienas pag.,118.6,304,0.0,0.0
Malnavas pag.,308.46,413,0.0,0.0
Maltas pag.,218.25,573,0.0,0.0
Matkules pag.,133.32,280,0.0,0.0
Matīšu pag.,145.67,226,0.0,0.0
Mazozolu pag.,168.7,172,0.0,0.0
Mazsalaca,47.71,322,0.0,0.0
Mazsalacas pag.,137.07,333,0.0,0.0
Mazzalves pag.,281.88,269,0.0,0.0
Maļinovas pag.,214.82,279,0.0,0.0
Medumu pag.,208.01,300,0.0,0.0
Medzes pag.,267.87,536,0.0,0.0
Medņevas pag.,174.74,301,0.0,0.0
Meņģeles pag.,152.06,179,0.0,0.0
Mežotnes pag.,168.26,352,0.0,0.0
Mežvidu pag.,154.39,195,0.0,0.0
Mežāres pag.,185.99,125,0.0,0.0
Mores pag.,150.34,221,0.0,0.0
Murmastienes pag.,119.39,138,0.0,0.0
Mākoņkalna pag.,258.51,388,0.0,0.0
Mālpils pag.,453.94,1159,0.0,0.0
Mālupes pag.,181.85,187,0.0,0.0
Mārcienas pag.,230.38,386,0.0,0.0
Mārkalnes pag.,198.29,264,0.0,0.0
Mārsnēnu pag.,136.27,201,0.0,0.0
Mārupe,0.0,0,413.0,0.0
Mārupes pag.,786.1,5360,0.0,0.0
Mērdzenes pag.,105.98,69,0.0,0.0
Mērsraga pag.,249.07,762,0.0,0.0
Mētrienas pag.,149.87,134,0.0,0.0
Nagļu pag.,136.38,129,0.0,0.0
Naudītes pag.,204.49,233,0.0,0.0
Naujenes pag.,447.0,1230,0.0,0.0
Naukšēnu pag.,304.67,517,0.0,0.0
Nautrēnu pag.,199.37,323,0.0,0.0
Neretas pag.,200.94,400,0.0,0.0
Nirzas pag.,145.15,257,0.0,0.0
Novadnieku pag.,226.81,322,0.0,0.0
Nīcas pag.,591.39,1102,0.0,0.0
Nīcgales pag.,149.91,165,0.0,0.0
Nīgrandes pag.,163.29,360,0.0,0.0
Nīkrāces pag.,195.7,348,0.0,0.0
Nītaures pag.,301.64,439,0.0,0.0
Ogre,385.03,5064,2039.0,18.88
Ogresgala pag.,306.46,1100,0.0,0.0
Olaine,145.99,1130,201.0,72.63
Olaines pag.,1172.84,4247,0.0,0.0
Otaņķu pag.,226.01,277,0.0,0.0
Ozolaines pag.,215.07,551,0.0,0.0
Ozolmuižas pag.,126.97,277,0.0,0.0
Ozolnieku pag.,93.87,824,0.0,0.0
Ošupes pag.,229.18,340,0.0,0.0
Padures pag.,309.34,679,0.0,0.0
Palsmanes pag.,183.93,314,0.0,0.0
Pampāļu pag.,175.81,190,0.0,0.0
Pasienes pag.,245.53,322,0.0,0.0
Pededzes pag.,237.2,277,0.0,0.0
Pelču pag.,145.9,526,0.0,0.0
Pelēču pag.,174.23,165,0.0,0.0
Penkules pag.,194.02,172,0.0,0.0
Piedrujas pag.,147.12,312,0.0,0.0
Pildas pag.,186.66,211,0.0,0.0
Pilskalnes pag.,330.85,414,0.0,0.0
Piltene,62.64,210,0.0,0.0
Piltenes pag.,349.14,360,0.0,0.0
Platones pag.,179.4,252,0.0,0.0
Plāņu pag.,361.71,433,0.0,0.0
Popes pag.,314.49,490,0.0,0.0
Praulienas pag.,358.71,602,0.0,0.0
Preiļi,95.07,692,1385.0,6.86
Preiļu pag.,227.52,349,0.0,0.0
Priekule,81.14,553,0.0,0.0
Priekules pag.,269.72,292,0.0,0.0
Priekuļu pag.,365.37,1356,0.0,0.0
Prodes pag.,123.92,103,0.0,0.0
Pureņu pag.,100.45,118,0.0,0.0
Puzes pag.,308.59,383,0.0,0.0
Pušas pag.,183.92,209,0.0,0.0
Pušmucovas pag.,97.09,121,0.0,0.0
Pāles pag.,202.29,309,0.0,0.0
Pāvilosta,97.5,456,0.0,0.0
Pļaviņas,73.87,332,0.0,0.0
Pūres pag.,208.85,498,0.0,0.0
Raiskuma pag.,477.78,1026,0.0,0.0
Ramatas pag.,171.72,153,0.0,0.0
Rankas pag.,284.66,390,0.0,0.0
Raunas pag.,371.62,655,0.0,0.0
Raņķu pag.,97.51,251,0.0,0.0
Rembates pag.,231.41,556,0.0,0.0
Remtes pag.,203.49,252,0.0,0.0
Rencēnu pag.,266.15,384,0.0,0.0
Rendas pag.,524.14,769,0.0,0.0
Riebiņu pag.,200.79,332,0.0,0.0
Rikavas pag.,127.03,127,0.0,0.0
Rites pag.,141.37,117,0.0,0.0
Robežnieku pag.,169.89,189,0.0,0.0
Rojas pag.,597.46,1771,0.0,0.0
Ropaži,0.0,0,613.0,0.0
Ropažu pag.,1110.38,3115,0.0,0.0
Rožkalnu pag.,150.25,169,0.0,0.0
Rožupes pag.,238.33,232,0.0,0.0
Rubas pag.,157.53,297,0.0,0.0
Rubenes pag.,276.78,345,0.0,0.0
Rucavas pag.,405.06,538,0.0,0.0
Rudbāržu pag.,237.98,360,0.0,0.0
Rudzātu pag.,148.6,139,0.0,0.0
Rugāju pag.,385.51,525,0.0,0.0
Rumbas pag.,380.61,736,0.0,0.0
Rundāles pag.,235.65,756,0.0,0.0
Rundēnu pag.,214.55,235,0.0,0.0
Rušonas pag.,321.09,495,0.0,0.0
Rēzekne,389.36,3703,2651.0,14.69
Rīga,6995.63,84770,0.0,0.0
Rūjiena,82.28,328,0.0,0.0
Sabile,48.11,268,0.0,0.0
Sakas pag.,604.32,753,0.0,0.0
Sakstagala pag.,151.65,181,0.0,0.0
Salacgrīva,123.07,666,0.0,0.0
Salacgrīvas pag.,576.67,1091,0.0,0.0
Salas pag.,627.93,1616,0.0,0.0
Salaspils,266.54,2821,180.0,148.08
Salaspils pag.,600.8,2947,0.0,0.0
Saldus,166.72,1075,1603.0,10.4
Saldus pag.,150.24,452,0.0,0.0
Salgales pag.,323.59,499,0.0,0.0
Salienas pag.,280.42,307,0.0,0.0
Salnavas pag.,231.49,206,0.0,0.0
Sarkaņu pag.,312.5,348,0.0,0.0
Saukas pag.,190.87,281,0.0,0.0
Saulkrasti,148.44,1533,386.0,38.46
Saulkrastu pag.,387.22,2275,0.0,0.0
Saunas pag.,144.25,106,0.0,0.0
Sausnējas pag.,185.69,226,0.0,0.0
Seces pag.,275.61,319,0.0,0.0
Seda,33.31,230,0.0,0.0
Sesavas pag.,154.98,256,0.0,0.0
Sigulda,367.93,3533,1072.0,34.32
Siguldas pag.,241.27,678,0.0,0.0
Silajāņu pag.,76.52,62,0.0,0.0
Silmalas pag.,288.77,426,0.0,0.0
Skaistas pag.,175.51,179,0.0,0.0
Skaistkalnes pag.,195.01,398,0.0,0.0
Skaņkalnes pag.,206.78,380,0.0,0.0
Skrudalienas pag.,255.73,513,0.0,0.0
Skrunda,70.12,730,0.0,0.0
Skrundas pag.,405.03,572,0.0,0.0
Skrīveru pag.,288.51,703,0.0,0.0
Skujenes pag.,325.11,477,0.0,0.0
Skultes pag.,412.01,1691,0.0,0.0
Slampes pag.,284.08,812,0.0,0.0
Smiltene,139.29,944,1371.0,10.16
Smiltenes pag.,189.43,425,0.0,0.0
Smārdes pag.,555.12,1881,0.0,0.0
Snēpeles pag.,169.13,418,0.0,0.0
Sokolku pag.,86.68,85,0.0,0.0
Stabulnieku pag.,116.92,109,0.0,0.0
Staburaga pag.,108.38,176,0.0,0.0
Staicele,50.69,200,0.0,0.0
Staiceles pag.,258.88,316,0.0,0.0
Stalbes pag.,270.11,435,0.0,0.0
Stelpes pag.,132.02,280,0.0,0.0
Stende,73.72,536,0.0,0.0
Stopiņu pag.,634.91,4716,0.0,0.0
Stoļerovas pag.,152.11,281,0.0,0.0
Stradu pag.,291.27,414,0.0,0.0
Straupes pag.,349.87,829,0.0,0.0
Strazdes pag.,115.96,233,0.0,0.0
Strenči,74.78,459,0.0,0.0
Stružānu pag.,41.45,78,0.0,0.0
Stāmerienas pag.,222.61,319,0.0,0.0
Subate,47.44,194,0.0,0.0
Suntažu pag.,352.37,514,0.0,0.0
Sunākstes pag.,179.68,262,0.0,0.0
Susāju pag.,260.84,323,0.0,0.0
Sutru pag.,113.83,104,0.0,0.0
Svariņu pag.,165.14,155,0.0,0.0
Sventes pag.,327.18,473,0.0,0.0
Svitenes pag.,99.27,209,0.0,0.0
Svētes pag.,155.89,605,0.0,0.0
Sējas pag.,508.1,1598,0.0,0.0
Sēlpils pag.,207.33,259,0.0,0.0
Sēmes pag.,387.11,661,0.0,0.0
Sērenes pag.,231.06,331,0.0,0.0
Sēļu pag.,83.73,96,0.0,0.0
Sīļukalna pag.,120.81,61,0.0,0.0
Tabores pag.,142.44,181,0.0,0.0
Tadaiķu pag.,155.55,371,0.0,0.0
Talsi,219.84,2495,2148.0,10.23
Taurenes pag.,183.5,379,0.0,0.0
Taurupes pag.,184.32,227,0.0,0.0
Tilžas pag.,168.43,197,0.0,0.0
Tirzas pag.,185.39,222,0.0,0.0
Tomes pag.,441.92,858,0.0,0.0
